"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
52.063,0.186,94,94,2,93.25,0,-1.57455759473869,-23.4626175415031,-0.00207331893264495,-0.035762341962101,-4.3980095127657,
52.064,0.186999999999998,94,94,2,93.25,0,-1.62065123311156,-24.9018306470315,-0.000958672240187752,-0.040812620105945,-4.7240092917906,
52.065,0.187999999999995,94,94,2,93.25,0,-1.67243157709714,-26.8655447635435,0.000381594012793585,-0.046185989599269,-5.0490935627733,
52.066,0.189,94,94,2,93.25,0,-1.73018340519344,-29.3694639616183,0.00200543129125208,-0.051865777534983,-5.368367621197,
52.067,0.189999999999998,94,94,2,93.25,0,-1.79417085186156,-32.2159152155113,0.00397577687405715,-0.05783106843463,-5.6735132921769,
52.068,0.190999999999995,94,94,2,93.25,0,-1.86466043620665,-35.5350960701455,0.00636364718630489,-0.064067402399665,-5.9609529300835,
52.069,0.192,94,94,2,93.25,0,-1.9419238995293,-39.4011289568896,0.00925856332327157,-0.070571106735267,-6.2352321565887,
52.07,0.192999999999998,94,94,2,93.25,0,-2.02624740046067,-43.9408875858474,0.0127724086280523,-0.077349310911998,-6.5058431767706,
52.071,0.193999999999996,94,94,2,93.25,0,-2.11791599638332,-49.0704556163325,0.0170355182461606,-0.084409018146138,-6.780305141615,
52.072,0.195,94,94,2,93.25,0,-2.21718602448248,-54.9676244993555,0.0221994498143943,-0.091745497078219,-7.0582878262996,
52.073,0.195999999999998,94,94,2,93.25,0,-2.32426463949554,-61.7287893497191,0.028447295000376,-0.099332174520377,-7.3285069757218,
52.074,0.196999999999996,94,94,2,93.25,0,-2.43931744010723,-69.4225601679089,0.0359919600333853,-0.107128294618479,-7.5744506859181,
52.075,0.198,94,94,2,93.25,0,-2.56249754024037,-78.1627330159128,0.0450817456296591,-0.115098734788536,-7.7855833229053,
52.076,0.198999999999998,94,94,2,93.25,0,-2.69395605069138,-87.722173596107,0.0559852369944167,-0.123225433372066,-7.9650216725124,
52.077,0.199999999999996,94,94,2,93.25,0,-2.8338301660977,-98.4788831121236,0.0690075910418102,-0.131499668842242,-8.1240821254819,
52.078,0.201000000000001,94,94,2,93.25,0,-2.98219453517776,-110.489590646692,0.0845093289252361,-0.139896510021849,-8.2667561170115,
52.079,0.201999999999998,94,94,2,93.25,0,-3.13904937493883,-123.76678927381,0.10288145239295,-0.148364434182241,-8.3813843610132,
52.08,0.202999999999996,94,94,2,93.25,0,-3.30437500401387,-138.408680808085,0.124553614652626,-0.156848935350958,-8.451572368654,
52.081,0.204000000000001,94,94,2,93.25,0,-3.47814352543561,-154.413347612224,0.149995240111792,-0.165317259984859,-8.4746751057747,
52.082,0.204999999999998,94,94,2,93.25,0,-3.66028776690705,-171.60204004995,0.179686152858665,-0.17374836973264,-8.4620131285098,
52.083,0.205999999999996,94,94,2,93.25,0,-3.85069257505335,-190.314456529403,0.214141473406755,-0.182109695458988,-8.4213390071871,
52.084,0.207000000000001,94,94,2,93.25,0,-4.04919304409272,-210.811954672307,0.253953363790572,-0.190355336411763,-8.347555500706,
52.085,0.207999999999998,94,94,2,93.25,0,-4.25561086920508,-232.853661051432,0.29974360952798,-0.198446977593346,-8.2341464534893,
52.086,0.208999999999996,94,94,2,93.25,0,-4.46973497353164,-256.345232358118,0.352118246972424,-0.206354502054723,-8.0826060968788,
52.087,0.210000000000001,94,94,2,93.25,0,-4.69127919714237,-281.085689489072,0.411650605134952,-0.214038256347551,-7.8956284268741,
52.088,0.210999999999999,94,94,2,93.25,0,-4.91989682937738,-306.471478151137,0.478813569369265,-0.221440210412763,-7.6663452751079,
52.089,0.211999999999996,94,94,2,93.25,0,-5.15523951077794,-332.171359484615,0.553963528302489,-0.228513124397391,-7.3877821093216,
52.09,0.213000000000001,94,94,2,93.25,0,-5.39698972584447,-357.999195785079,0.637387968387003,-0.235247426750686,-7.0700425194033,
52.091,0.213999999999999,94,94,2,93.25,0,-5.6448570758446,-384.075561324297,0.729356020160338,-0.241663095446819,-6.7402957455463,
52.092,0.214999999999996,94,94,2,93.25,0,-5.89853173526039,-410.430390760133,0.830129033559757,-0.247774402344748,-6.4199502538204,
52.093,0.216000000000001,94,94,2,93.25,0,-6.15771324484806,-437.095341104346,0.93996053285926,-0.253584521642656,-6.1122591573839,
52.094,0.216999999999999,94,94,2,93.25,0,-6.42214367808971,-463.890897989148,1.0590846236334,-0.2591041316323,-5.8133227854351,
52.095,0.217999999999996,94,94,2,93.25,0,-6.69161843926729,-490.507784379437,1.18767780213312,-0.264369054526235,-5.5303566534105,
52.096,0.219000000000001,94,94,2,93.25,0,-6.96600173815574,-517.286950460475,1.32593882410703,-0.269434024110062,-5.2813430296153,
52.097,0.219999999999999,94,94,2,93.25,0,-7.24517161580433,-544.679072024263,1.47417328638903,-0.274346711203231,-5.079270829662,
52.098,0.220999999999997,94,94,2,93.25,0,-7.52899571117669,-571.958043791514,1.63263754601684,-0.279130169337679,-4.9196031527501,
52.099,0.222000000000001,94,94,2,93.25,0,-7.81729782193505,-598.845262954265,1.80141007832569,-0.283771234671029,-4.7795089817349,
52.1,0.222999999999999,94,94,2,93.25,0,-8.10983833922408,-625.931277000013,1.98055845960653,-0.288230228101761,-4.629161602894,
52.101,0.223999999999997,94,94,2,93.25,0,-8.4063440141847,-653.351974226828,2.17021583154195,-0.292458542631306,-4.4444113311613,
52.102,0.225000000000001,94,94,2,93.25,0,-8.70651939793627,-681.178818437218,2.37051247795006,-0.296417040296428,-4.2165731405742,
52.103,0.225999999999999,94,94,2,93.25,0,-9.01008675159024,-709.243133393927,2.58155583413995,-0.300092062085005,-3.9543999614854,
52.104,0.226999999999997,94,94,2,93.25,0,-9.31676075092336,-737.829886144594,2.80344566925442,-0.303481756386995,-3.6744663055644,
