phase,displacement_m,measured_force_n,simulated_force_n
5.540000000000000480e-01,1.771116795559414189e-02,1.912574234183554609e+03,1.999001572262375248e+03
5.560000000000000497e-01,1.764094973736607397e-02,1.894534410956198826e+03,1.947466362301643358e+03
5.580000000000000515e-01,1.756209113054477827e-02,1.874860309048310455e+03,1.899809384762804711e+03
5.600000000000000533e-01,1.747510064742796923e-02,1.853596149413964667e+03,1.855838037106764432e+03
5.620000000000000551e-01,1.738050308298923208e-02,1.831016842001188024e+03,1.816172456052501502e+03
5.640000000000000568e-01,1.727880732086071666e-02,1.807164207057813883e+03,1.783986264646523068e+03
5.660000000000000586e-01,1.717051449979719452e-02,1.782351614442093478e+03,1.753453925779377187e+03
5.680000000000000604e-01,1.705612265236346181e-02,1.756911174388262225e+03,1.723634628904419969e+03
5.700000000000000622e-01,1.693615435879101613e-02,1.730930597600369993e+03,1.694620336912284984e+03
5.720000000000000639e-01,1.681116672378710902e-02,1.704625002247844577e+03,1.666387128904514611e+03
5.740000000000000657e-01,1.668166341275200207e-02,1.678042310728146504e+03,1.638768017576426473e+03
5.760000000000000675e-01,1.654804200013911333e-02,1.651436757218055163e+03,1.613174736326638367e+03
